Id,q1,q2,q3,d4,q5,q6,q7,q8,q9,q10,q11,q12,q13,c12b5a4e69860bc968b47223fd-change-ext-lng-btn
2260623968,5,5,5,5,5,5,5,5,5,5,SMS,No,No,
2198288272,4,4,5,5,4,4,5,4,4,4,Site,Yes,No,
2211392119,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
2206848257,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
2246217083,5,4,4,4,4,4,4,4,4,3,SMS,No,No,
2208446183,5,5,5,5,5,5,3,5,5,4,SMS,Yes,No,
2207841236,5,5,5,5,5,5,5,4,5,5,Site,Yes,No,
2171896307,5,5,5,5,5,5,5,4,4,4,Site,Yes,No,
2353745397,5,5,5,5,5,5,5,5,5,5,Site,Yes,No,
2255782977,5,5,2,5,5,4,4,4,4,4,SMS,Yes,No,
2202918641,5,5,5,5,5,5,5,5,5,5,Site,Yes,No,
2209730148,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
2423993381,4,5,4,4,4,5,5,5,5,4,Site,No,No,
2347248326,5,5,5,5,5,5,5,5,5,5,Visit,Yes,No,
2211809807,3,4,4,4,4,5,4,3,4,3,SMS,No,No,
2372579256,5,5,5,5,5,5,5,5,4,4,SMS,No,No,
2202673832,5,4,5,5,4,4,5,5,5,4,SMS,Yes,Yes,
2257890679,4,4,4,4,4,4,4,4,4,4,Visit,Yes,Yes,
2283500110,5,5,4,5,4,5,5,5,5,3,Site,No,No,
2208928016,4,4,4,4,4,4,4,4,3,4,Site,Yes,No,
2234132781,5,5,5,5,5,5,5,5,5,4,SMS,Yes,No,
2227866221,4,5,3,5,4,5,3,3,2,4,SMS,No,No,
1129871743,4,4,4,4,4,4,2,5,4,3,SMS,Yes,Yes,
1130736588,5,4,4,5,5,5,4,4,2,4,Site,Yes,Yes,
1111770234,5,5,5,5,5,5,5,5,3,3,SMS,Yes,Yes,
1129384580,5,5,5,5,5,5,5,5,5,5,SMS,No,No,
1129042576,5,5,5,5,5,5,5,5,5,5,SMS,No,No,
1132055912,4,4,4,4,4,4,4,4,4,4,SMS,No,No,
1132116441,4,5,5,4,4,5,5,3,4,5,Site,Yes,Yes,
1129503932,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1130201922,4,5,5,5,2,5,5,5,4,5,SMS,Yes,No,
1125247880,5,5,5,5,4,5,5,5,5,5,SMS,No,No,
1126219912,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1130574211,4,4,4,5,5,5,3,5,5,5,SMS,Yes,Yes,
1130088592,4,5,5,5,5,4,5,5,5,4,Site,Yes,No,
1132212927,5,5,5,5,5,5,3,5,3,5,Site,No,No,
1130402488,5,5,5,5,5,5,5,5,5,5,Site,No,No,
1129672976,3,3,3,3,3,3,3,3,3,3,SMS,No,No,
1131030452,5,5,5,5,5,5,5,5,5,5,Site,Yes,No,
1124046952,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
1131776120,4,4,4,5,5,5,5,5,5,4,Site,Yes,Yes,
1130954546,5,5,5,5,5,5,3,5,5,4,SMS,Yes,No,
1131009787,5,5,5,5,5,5,5,5,5,5,Visit,No,No,
1131383539,5,5,5,5,4,4,5,5,5,5,SMS,Yes,Yes,
1118934106,5,5,5,5,5,5,4,5,5,5,Site,No,No,
1115599282,5,5,5,5,3,3,5,4,3,4,SMS,No,No,
1131081455,4,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1132198381,5,5,4,5,5,4,4,5,5,5,SMS,Yes,No,
1131045534,4,5,5,5,5,4,4,5,5,4,Site,Yes,No,
1131602615,5,5,5,5,5,5,5,5,5,5,Visit,Yes,Yes,
1130069345,5,4,4,4,4,4,3,4,4,4,SMS,Yes,Yes,
1130895566,4,5,5,5,5,5,5,5,4,5,SMS,Yes,Yes,
1130047481,4,4,4,5,5,5,5,5,5,4,Site,Yes,Yes,
1129355341,4,4,4,4,4,4,4,4,4,4,Site,No,No,
1132250257,5,3,5,5,5,5,4,5,5,5,Visit,Yes,Yes,
1126528577,5,5,5,5,5,3,5,5,2,4,Site,Yes,Yes,
1132347830,4,5,5,5,5,5,5,5,5,4,SMS,No,No,
1126707403,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1130108291,5,5,5,5,5,5,5,5,5,5,Site,Yes,No,
1130272584,5,5,5,5,5,5,5,5,5,5,Site,Yes,No,
1119681409,4,4,4,5,4,4,4,5,4,4,SMS,Yes,Yes,
1129946909,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1131508812,5,5,5,4,5,5,5,5,5,5,SMS,Yes,No,
1130718750,5,5,5,5,5,5,5,5,5,5,Site,Yes,No,
1129214563,5,5,5,5,4,5,4,5,5,5,Site,Yes,Yes,
1129092233,5,5,5,5,5,5,3,5,5,5,SMS,Yes,No,
1124938174,4,5,5,5,4,4,3,5,4,4,Site,No,No,
1126556909,5,5,5,5,5,5,4,5,5,5,Site,Yes,No,
1130857897,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1131539981,5,5,5,5,5,5,5,5,4,5,Site,Yes,No,
1132406289,5,4,5,5,5,5,1,5,5,3,Site,Yes,Yes,
1130260035,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1128733837,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1127953493,5,5,5,5,5,5,4,5,5,5,Site,Yes,Yes,
1129580179,5,5,5,5,5,5,5,5,5,5,Site,Yes,No,
1135020640,4,4,5,5,4,3,5,4,5,4,Site,Yes,No,
1129125041,3,3,4,4,5,3,4,4,3,3,SMS,Yes,No,
1129455893,4,5,5,4,4,4,5,4,3,4,SMS,Yes,No,
1125692903,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1142227154,3,3,3,3,3,2,3,3,3,3,SMS,Yes,Yes,
1129025183,4,5,5,5,4,4,4,4,4,4,Site,Yes,No,
1130359878,5,5,5,5,5,5,5,5,5,5,Site,Yes,No,
1126163730,3,4,5,5,5,5,5,5,2,5,Site,No,No,
1131352344,3,3,4,4,4,3,4,4,4,3,Site,Yes,No,
1133452282,5,5,5,5,5,5,5,5,5,5,Site,Yes,No,
1131019182,5,5,4,5,5,4,4,5,4,5,SMS,Yes,No,
1131320903,5,5,4,5,5,4,4,4,3,2,Site,Yes,No,
1131271593,4,4,4,5,4,4,5,5,4,3,Site,Yes,No,
1129093579,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
1130226424,4,5,4,5,5,4,5,5,5,4,SMS,Yes,No,
1131165613,4,4,4,4,4,4,4,4,4,4,SMS,Yes,Yes,
1131652529,3,4,4,5,4,4,4,5,2,3,Site,Yes,No,
1130887431,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
1129962187,5,5,5,5,5,5,5,5,5,5,SMS,No,No,
1125073385,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1131215939,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1129527824,5,5,5,5,5,5,4,5,5,5,SMS,No,No,
1130468992,5,5,5,5,5,5,4,5,5,5,SMS,Yes,No,
1133121705,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1130395161,2,5,2,4,5,2,5,5,1,3,Site,Yes,Yes,
1131111138,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
1132444975,3,5,3,5,5,5,5,5,5,4,SMS,Yes,No,
1129434435,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1130927229,4,3,3,5,5,3,4,4,4,4,SMS,Yes,Yes,
1131199463,4,4,4,4,3,4,3,4,3,4,SMS,Yes,Yes,
1130213455,4,5,5,5,5,4,5,4,4,5,SMS,Yes,No,
1130938382,4,4,4,4,4,4,4,4,4,4,Site,Yes,No,
1128829858,4,5,4,5,5,5,5,5,5,4,Site,Yes,Yes,
1131319731,5,4,5,5,5,5,5,5,5,4,Site,No,No,
1130256736,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1129556005,4,5,5,5,5,4,5,5,5,4,SMS,Yes,No,
1132280825,4,4,4,4,4,4,4,4,4,4,SMS,Yes,Yes,
1130686189,5,2,5,5,5,5,5,5,5,3,SMS,Yes,Yes,
1131462606,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1113256539,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1131272666,5,5,5,5,5,5,4,5,3,4,SMS,Yes,Yes,
1130295213,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
1134579505,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1128674536,5,5,5,5,5,5,3,5,5,5,SMS,Yes,No,
1131243386,5,4,5,5,5,5,5,5,5,5,SMS,Yes,No,
1130362575,5,5,5,5,5,4,4,4,5,4,Site,Yes,Yes,
1125432359,5,5,5,5,5,5,4,5,5,5,Site,Yes,Yes,
1130932351,3,4,3,4,4,4,3,5,3,3,SMS,Yes,No,
1128576459,4,3,4,4,4,4,4,4,4,4,Site,No,No,
1130420290,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1131566729,4,5,5,5,5,4,3,5,4,3,SMS,No,No,
1136631130,5,5,4,5,5,4,2,5,3,4,Site,Yes,No,
1129614622,4,4,4,5,4,4,4,4,4,4,SMS,Yes,No,
1127585790,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1130728940,5,5,5,5,5,4,5,5,5,5,SMS,Yes,No,
1130271495,5,4,5,4,5,4,5,5,5,5,SMS,Yes,No,
1132439017,5,5,5,5,5,5,5,5,5,5,Site,Yes,No,
1131298794,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1131472241,4,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1128624366,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
1129047120,5,4,4,5,4,4,4,5,5,4,Site,Yes,No,
1129358725,5,5,5,5,5,5,4,5,5,5,Site,Yes,Yes,
1131286377,4,3,4,5,5,4,2,5,4,3,Site,Yes,No,
1131970244,5,3,5,5,5,5,5,5,5,5,Site,No,No,
1128765490,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1124241231,4,5,4,5,5,4,3,5,4,4,Site,Yes,Yes,
1133067080,5,5,5,5,5,5,3,5,5,5,SMS,Yes,No,
1127033007,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1131493940,5,4,4,5,5,5,5,5,5,5,SMS,Yes,Yes,
1146435142,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1126497526,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
1129047245,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
1129156715,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1130504861,5,5,5,5,5,5,3,5,4,3,Site,Yes,Yes,
1130846700,4,5,5,5,5,5,4,5,5,5,SMS,Yes,No,
1125793040,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1124963222,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
1125960359,4,5,5,5,5,4,5,5,5,5,SMS,Yes,No,
1128497326,5,5,5,5,5,5,3,5,5,3,Site,Yes,Yes,
1129771737,3,3,3,4,4,3,4,5,3,3,SMS,Yes,Yes,
1129048508,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1125020212,4,5,3,5,4,5,4,3,3,3,SMS,No,No,
1131407858,5,5,5,5,5,5,5,5,5,5,Site,Yes,No,
1133121044,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1130423740,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1131638791,5,5,5,5,5,5,4,5,5,5,Site,Yes,Yes,
1131442459,5,5,5,5,5,5,3,5,5,5,Site,Yes,No,
1132318807,5,4,4,5,3,3,4,4,4,3,SMS,Yes,No,
1129855753,5,5,5,5,5,5,5,5,5,5,Site,Yes,No,
1129703649,5,5,5,5,5,5,4,4,4,4,SMS,Yes,No,
1130140526,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1132262849,5,5,5,5,5,3,3,3,3,3,Site,Yes,Yes,
1131238154,4,4,4,4,4,4,4,5,5,4,Site,Yes,No,
1128760756,2,2,2,5,5,3,4,3,3,3,SMS,Yes,No,
1131086942,3,4,3,4,4,3,4,4,3,3,SMS,Yes,Yes,
1128382189,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
1130505082,5,4,4,5,5,5,4,5,5,4,SMS,Yes,No,
1131279786,4,5,4,5,5,5,2,5,5,5,SMS,No,No,
1132838903,5,5,5,5,5,4,2,5,5,5,SMS,Yes,No,
1118550365,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1132068154,5,5,5,5,5,5,5,5,5,5,Site,Yes,Yes,
1127371233,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1124651272,4,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
1128146246,3,5,5,5,5,5,4,5,4,4,Site,Yes,Yes,
1129715692,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1131001834,5,5,5,5,5,5,4,5,5,5,SMS,Yes,Yes,
1128475033,4,4,4,4,3,4,3,4,5,4,Site,Yes,Yes,
1132115732,5,5,5,5,5,5,3,5,3,5,SMS,Yes,Yes,
1128973086,5,5,5,5,5,5,5,5,5,5,SMS,Yes,No,
1133247740,4,5,5,5,5,4,4,4,4,4,SMS,Yes,Yes,
1128866512,5,5,5,5,5,5,4,5,5,5,Site,Yes,Yes,
1131472449,5,5,5,5,5,5,4,4,4,4,SMS,Yes,Yes,
1132565597,5,4,5,5,5,5,4,5,5,5,Site,Yes,No,
1128898358,5,5,5,5,5,5,5,5,5,5,SMS,Yes,Yes,
1132812189,5,5,5,5,5,5,5,5,5,5,SMS,No,No,
1146018856,5,5,5,5,5,5,1,5,5,5,SMS,Yes,No,
1131400499,5,5,5,5,5,5,4,5,5,5,Site,Yes,Yes,
